signal,h,n_sig,n_obs,effect_pct,t_naive,p_naive,t_hac,p_hac,n_epi,t_clu,p_clu,p_nov_min,p_nov_med,p_nov_max,n_off,p_boot
CMO < -30,5,178,2409,0.17191284101830492,0.5174297435983317,0.6054799387523362,0.29311901842791094,0.7694311803035911,105,0.3772937694651413,0.7059553018959959,0.5004036335590953,0.8678156543188525,0.9736185952529974,5,0.7558
CMO < -30,10,177,2404,0.13512157527045282,0.31177633609855027,0.755564681020578,0.16479112107873406,0.8691083928493484,103,0.24260390919054708,0.808312252581743,0.21421069064332096,0.7584539776125254,0.9901697314106889,10,0.8692
CMO < -30,20,177,2394,1.531836911477596,3.0686106171527423,0.0024688281696458344,1.8117834773585144,0.07001965908848316,103,1.7642456363009604,0.07769063235406358,0.03053908745128237,0.3800264853403162,0.9321962746888195,19,0.0806
CMO > 30,5,604,2409,-0.1575347199154336,-1.7406098952782627,0.08195258307711852,-1.0512892045580826,0.29312578370667763,223,-1.133694407801263,0.2569227561988825,0.19646373957888283,0.3677557176692526,0.7051829810829968,5,0.2837
CMO > 30,10,604,2404,-0.37783298772619417,-3.0867523084577986,0.002058037115027093,-1.3620768323929466,0.17317363889845594,223,-1.4453657826533777,0.14835516930108064,0.1024679458635594,0.4306717286843724,0.6828260526805854,10,0.1695
CMO > 30,20,603,2394,-0.8302653144171824,-4.831725784996391,1.487597779357047e-06,-1.735556255535341,0.08264232640330516,221,-1.7696082803582656,0.07679241850543053,0.03688107781934564,0.3171991732701456,0.9605211375963557,20,0.0774
McClellan-classic zero-cross up,5,234,2409,-0.06833957850151619,-0.4385800437315067,0.6612934215335696,-0.4527995751008004,0.6506930696150091,469,-0.39296695355398986,0.6943438892329142,0.47354251003271625,0.6973735516684895,0.9825474869919605,5,0.6476
McClellan-classic zero-cross up,10,234,2404,0.12741073425565466,0.6011893718138013,0.5481812607325575,0.6036412908795519,0.5460821544446819,469,0.48299416102393333,0.6290998821259177,0.04669105936830189,0.6932198424010947,0.8893312598377974,10,0.5457
McClellan-classic zero-cross up,20,232,2394,-0.01950654252712361,-0.065962396278053,0.9474535649703717,-0.06941542519113371,0.9446589510087722,465,-0.0515137540439193,0.9589161422610397,0.01694533682413518,0.6538219305845235,0.9698728527702064,20,0.942
McClellan-classic < -2.40 (oversold),5,129,2409,-0.14210485432002443,-0.4023518437598144,0.6880737264528336,-0.2616676653732998,0.793577671435552,117,-0.28960531702224607,0.7721181988545934,0.10826724196876499,0.8485284876039852,0.9186572404711514,5,0.7818
McClellan-classic < -2.40 (oversold),10,129,2404,-0.6835242846951844,-1.2666851846336105,0.20750776450639757,-0.6014741109638795,0.5475242501054011,117,-0.6498890550573598,0.5157638884954873,0.1026556667982665,0.5612685031961908,0.946890971121423,10,0.5563
McClellan-classic < -2.40 (oversold),20,129,2394,0.18791984793019353,0.28804682630088346,0.7737598524931726,0.14152436891005263,0.8874557101797113,117,0.13307848177259163,0.8941313128244306,0.05093887026119715,0.46503357253254907,0.9505476863264901,14,0.8983
McClellan-classic > 2.03 (overbought),5,150,2409,0.006799250550700801,0.04251114416489721,0.9661378145259045,0.03186891154563127,0.9745765910332873,123,0.032632472593475424,0.9739676742284812,0.46782907026041703,0.8057787596911007,0.9232473302120228,5,0.975
McClellan-classic > 2.03 (overbought),10,150,2404,0.07647069505179444,0.3175065066334116,0.7512359447224535,0.17958141166901845,0.8574811987656834,123,0.19052258635961497,0.8488996459662227,0.20005603868762467,0.49370866750091225,0.9627001573278022,10,0.8603
