regime,signal,h,n_sig,n_epi,effect_pct,p_naive,p_hac,p_clu,p_nov_med,p_boot
1992-2000 bull,zero-cross,5,171,343,-0.029748799586375684,0.8571569468149733,0.8392213897641214,0.8666869472487619,0.5793246147889799,0.8386666666666667
1992-2000 bull,zero-cross,10,170,341,-0.10717393069929497,0.6064619564754351,0.5356716022957967,0.667870851163807,0.6152520521449587,0.5413333333333333
1992-2000 bull,zero-cross,20,168,337,0.01658890551929984,0.9529413854628951,0.9424423394152928,0.9661097184713806,0.49913427644355896,0.9346666666666666
1992-2000 bull,oversold,5,163,151,0.3612100674484985,0.03348217363301079,0.0822901801171535,0.08518200603032179,0.17798685285008808,0.07633333333333334
1992-2000 bull,oversold,10,163,151,0.38961057040432007,0.06103335882748973,0.19920353341047659,0.2510533499197073,0.48121017966957985,0.19266666666666668
1992-2000 bull,oversold,20,163,151,0.20932658288546677,0.5133930979883509,0.7242881821798102,0.7288595159285198,0.5581634491136387,0.7163333333333334
1992-2000 bull,overbought,5,164,145,-0.08240713116149513,0.5665341261695146,0.6711054812135361,0.6906316388672855,0.7015552371668463,0.6646666666666666
1992-2000 bull,overbought,10,164,145,0.0806961135215352,0.6703037919588437,0.7864901455464183,0.8053094759399562,0.3687036610071783,0.7906666666666666
1992-2000 bull,overbought,20,164,145,-0.43823746284197723,0.12647616890979835,0.39039500210231126,0.4530946941407299,0.3665095709042844,0.38233333333333336
2000-2010 sideways/bear,zero-cross,5,247,495,-0.3866204233818666,0.03743935813251906,0.026115969668901954,0.05826917212216531,0.23488485332634607,0.025
2000-2010 sideways/bear,zero-cross,10,246,493,-0.4496734995341452,0.0834463868481282,0.03422792841008472,0.13532678860934083,0.5056523266721769,0.032
2000-2010 sideways/bear,zero-cross,20,245,491,-0.6812411566847212,0.07781628536984743,0.08961699189525599,0.14511231571765956,0.6387417816534918,0.07866666666666666
2000-2010 sideways/bear,oversold,5,144,187,0.8524768035019132,0.004566655704888606,0.009148129285254695,0.022757273036551336,0.32154918611629096,0.012
2000-2010 sideways/bear,oversold,10,144,187,0.825245552568038,0.024475469475299525,0.07977718809347646,0.13749204249254898,0.42563596259354813,0.086
2000-2010 sideways/bear,oversold,20,144,187,2.0033073258329868,1.2762150671038542e-05,0.003368691023988528,0.008749755719917181,0.3403507214004001,0.0026666666666666666
2000-2010 sideways/bear,overbought,5,131,127,0.08076648547368288,0.691454454698513,0.7572706356301656,0.7908077305603045,0.7388291704852729,0.7536666666666667
2000-2010 sideways/bear,overbought,10,131,127,0.3756397577743608,0.16100012166573163,0.3697518371695766,0.41628709728725455,0.49694013283446437,0.37366666666666665
2000-2010 sideways/bear,overbought,20,131,127,0.8157112930584708,0.027530984322001205,0.22973888363955575,0.2436404936866572,0.41189004133957663,0.22733333333333333
2010-2016 bull,zero-cross,5,142,285,-0.19760290853393214,0.21740205623531542,0.17008144525290902,0.2679854927013663,0.3581445486423061,0.16566666666666666
2010-2016 bull,zero-cross,10,142,285,-0.27508906294427554,0.21404460741983636,0.15133670629425364,0.29765434453243633,0.603017302325102,0.14866666666666667
2010-2016 bull,zero-cross,20,142,284,-0.12145343178036425,0.6940500026529199,0.6042481164099932,0.7522833380532543,0.6956684123607759,0.606
2010-2016 bull,oversold,5,77,81,0.5979913862492646,0.10760861231594436,0.2957845844633358,0.31902869657350374,0.4096049222614229,0.29033333333333333
2010-2016 bull,oversold,10,77,81,0.7131076932228636,0.10004341803296063,0.3283336043684517,0.3417709174392365,0.646993403120598,0.33066666666666666
2010-2016 bull,oversold,20,77,81,1.4903535974711617,0.0018693889674268023,0.02878164654280073,0.047783552972049455,0.24169556270815307,0.03
2010-2016 bull,overbought,5,92,81,0.002746750189799689,0.9880268922017673,0.9911698708081986,0.9913578579762783,0.6867380755826357,0.9883333333333333
2010-2016 bull,overbought,10,92,81,0.30444843105257174,0.1735249479090197,0.3876232743299327,0.42037928033633376,0.8786758975501383,0.386
2010-2016 bull,overbought,20,92,81,-0.23857094280686575,0.5221301980317478,0.702893603527453,0.7309020898978753,0.7636095236821372,0.6916666666666667
2016-2026 bull,zero-cross,5,220,441,-0.01651838325988789,0.918612199301674,0.9117573879827869,0.9259207659081242,0.5596436250343043,0.9073333333333333
2016-2026 bull,zero-cross,10,220,441,0.2040349304397505,0.35351638165080607,0.3092348786947343,0.44624037093957236,0.5740188634871211,0.3016666666666667
2016-2026 bull,zero-cross,20,218,437,0.18429559094251102,0.5493603284657324,0.49837517634761463,0.6343229580611733,0.5959474818676289,0.5033333333333333
2016-2026 bull,oversold,5,125,119,0.04391950193795009,0.9016421989331852,0.9377862524673574,0.9328196271959311,0.7068608977183066,0.943
2016-2026 bull,oversold,10,125,119,-0.6289065168669083,0.2591630824324297,0.5957211897359993,0.5656553797283657,0.527139228553282,0.6043333333333333
2016-2026 bull,oversold,20,125,119,0.26516745731203284,0.6899596717554756,0.8444262656032558,0.8521221282669281,0.5735027930052097,0.848
2016-2026 bull,overbought,5,140,109,0.06441017703814494,0.708824482931281,0.7791432317262593,0.7679894410290693,0.8541510192946807,0.7706666666666667
2016-2026 bull,overbought,10,140,109,0.14577523047057256,0.5606430356480162,0.7326943431150339,0.7311802114497699,0.5385132560161894,0.7243333333333334
2016-2026 bull,overbought,20,140,109,-0.012026742208385947,0.9734929261362645,0.9870399388514599,0.9859088080929339,0.5557145287344628,0.9903333333333333
full history 1992-2026,zero-cross,5,808,1617,-0.17186805546767067,0.0486927031539598,0.033119758997597934,0.07156062827563231,0.3770424248859752,0.03666666666666667
full history 1992-2026,zero-cross,10,808,1617,-0.16813764525346425,0.15691913047378184,0.10755031245238351,0.2313049794693891,0.4947678280942287,0.11566666666666667
full history 1992-2026,zero-cross,20,806,1613,-0.21055258573756613,0.21717033875124417,0.20861420724366253,0.3206609305595489,0.596733397957348,0.20666666666666667
full history 1992-2026,oversold,5,603,613,0.44806632866746826,0.0008457301466150807,0.016508334415154105,0.020575441555678513,0.08113270170461903,0.017666666666666667
full history 1992-2026,oversold,10,602,611,0.2648575155412479,0.13923473562819863,0.418505129925143,0.4230696777847528,0.5643795272427975,0.404
full history 1992-2026,oversold,20,602,611,0.9818716475952474,7.260497795545762e-06,0.011097942357500163,0.024638603310706456,0.19660747111193366,0.011666666666666667
full history 1992-2026,overbought,5,571,511,0.027937784832790264,0.7333367502079378,0.8023374061667903,0.8180601093622464,0.5957699224613349,0.7926666666666666
full history 1992-2026,overbought,10,571,511,0.1928651152886375,0.0956016887500098,0.29986610829577265,0.3330494917538728,0.49084810473075546,0.295
full history 1992-2026,overbought,20,571,511,0.09213439873646785,0.5864976768297252,0.7715915699402475,0.7822520282363276,0.6457983878499003,0.7766666666666666
