regime,signal,h,n_days,n_sig,n_epi,effect_pct,t_naive,p_naive,t_hac,p_hac,p_clu,p_nov_med,p_nov_min,n_off,p_boot
1992-2000 bull,CMO < -30,5,1997,126,79,0.5559101759313202,3.179334773263189,0.0018118229483077165,2.740272833110347,0.006138820198394104,0.0014125821138275612,0.18486054570466978,0.019468872897284887,5,0.0094
1992-2000 bull,CMO < -30,10,1992,126,79,1.0456853763701832,4.441062178333197,1.7856220581836034e-05,2.7448081565882982,0.006054628043647601,0.01356080077428263,0.1550832345317802,0.001459259306367941,10,0.0062
1992-2000 bull,CMO < -30,20,1982,126,79,0.5923461312999012,1.5327622931164355,0.12764333695243418,0.6438613979686678,0.5196653154826596,0.5744375710038764,0.5065141313695086,0.007678417373389968,19,0.4988
1992-2000 bull,CMO > 30,5,1997,521,185,-0.21281213535627322,-2.4663772636495356,0.013793763229113666,-1.4897927221790324,0.1362787453294159,0.1390033689364786,0.17463282325905888,0.13128121376372343,5,0.1264
1992-2000 bull,CMO > 30,10,1992,521,185,-0.4330863834299874,-3.660431137974757,0.00026372080591651034,-1.8022508195610278,0.07150595238993929,0.08913984841398365,0.2849401076079987,0.04812342644267164,10,0.0674
1992-2000 bull,CMO > 30,20,1982,517,182,-0.18242570273255318,-1.1138288606509144,0.2655914432487322,-0.447022680327127,0.6548586842194165,0.6960870061711213,0.5635077688413456,0.1949551982988484,20,0.6544
2000-2010 sideways/bear,CMO < -30,5,2490,300,141,0.29742329859068345,1.3218494933575102,0.18712135539765426,0.8297140511226037,0.40670047518049035,0.3418645557896258,0.38253372635318333,0.0995519526528166,5,0.4122
2000-2010 sideways/bear,CMO < -30,10,2485,300,141,0.5134205086687088,1.6999246335171845,0.09007090864671972,0.9137468523569973,0.3608498789661727,0.4224047976202314,0.6229745863451508,0.07220129858438167,10,0.3612
2000-2010 sideways/bear,CMO < -30,20,2475,300,141,1.9695326516979739,4.93820113466303,1.2376712036885152e-06,2.097616022354663,0.03593907856822136,0.05034862364507596,0.2575574360092511,0.04582916454421871,20,0.0384
2000-2010 sideways/bear,CMO > 30,5,2490,372,165,-0.0743909073488735,-0.7220083584435869,0.4704911191745297,-0.4357445126241447,0.6630221061522166,0.7168345990053646,0.6588563469420788,0.32180580181313767,5,0.6424
2000-2010 sideways/bear,CMO > 30,10,2485,372,165,0.0558728010478164,0.42250943977582767,0.6727488959264512,0.1982513515015609,0.8428484120356663,0.8724706376932508,0.8278457316574948,0.3782971574997354,10,0.8488
