signal,h,n_sig,n_obs,effect_pct,t_naive,p_naive,t_hac,p_hac,n_epi,t_clu,p_clu,p_nov_min,p_nov_med,p_nov_max,n_off,p_boot
CMO < -30,5,178,2409,0.17191284101830492,0.5174297435983317,0.6054799387523362,0.29311901842791094,0.7694311803035911,105,0.3772937694651413,0.7059553018959959,0.5004036335590953,0.8678156543188525,0.9736185952529974,5,0.7558
CMO < -30,10,177,2404,0.13512157527045282,0.31177633609855027,0.755564681020578,0.16479112107873406,0.8691083928493484,103,0.24260390919054708,0.808312252581743,0.21421069064332096,0.7584539776125254,0.9901697314106889,10,0.8692
CMO < -30,20,177,2394,1.531836911477596,3.0686106171527423,0.0024688281696458344,1.8117834773585144,0.07001965908848316,103,1.7642456363009604,0.07769063235406358,0.03053908745128237,0.3800264853403162,0.9321962746888195,19,0.0806
CMO > 30,5,604,2409,-0.1575347199154336,-1.7406098952782627,0.08195258307711852,-1.0512892045580826,0.29312578370667763,223,-1.133694407801263,0.2569227561988825,0.19646373957888283,0.3677557176692526,0.7051829810829968,5,0.2837
CMO > 30,10,604,2404,-0.37783298772619417,-3.0867523084577986,0.002058037115027093,-1.3620768323929466,0.17317363889845594,223,-1.4453657826533777,0.14835516930108064,0.1024679458635594,0.4306717286843724,0.6828260526805854,10,0.1695
CMO > 30,20,603,2394,-0.8302653144171824,-4.831725784996391,1.487597779357047e-06,-1.735556255535341,0.08264232640330516,221,-1.7696082803582656,0.07679241850543053,0.03688107781934564,0.3171991732701456,0.9605211375963557,20,0.0774
McClellan-classic zero-cross up,5,240,2409,-0.10305588585599883,-0.6631065176591165,0.5077767613641639,-0.6962584092416171,0.4862670144989414,481,-0.5956598742518555,0.5514024691401356,0.589322664205496,0.7048310692448154,0.9091805828055123,5,0.4802
McClellan-classic zero-cross up,10,240,2404,0.1506679669293764,0.7138537219932812,0.4758734740492497,0.7279157578991435,0.46666515639612594,481,0.5712778327350223,0.567811325587019,0.030419004431621807,0.5946168706497728,0.9846378530049616,10,0.4708
McClellan-classic zero-cross up,20,238,2394,0.009960122457399953,0.034257921873169436,0.972694420471816,0.03601290300737014,0.9712720705165938,477,0.02643974446297417,0.9789065937231202,0.0031485196872316967,0.6044053877774707,0.9814609444643068,20,0.9716
McClellan-classic < -2.36 (oversold),5,130,2409,-0.005436724225447434,-0.015415461515164172,0.9877237449076187,-0.009914577240210368,0.9920894414931509,121,-0.010629087799866606,0.9915193746360216,0.23742677909132745,0.7965271585793879,0.9186572404711514,5,0.9909
McClellan-classic < -2.36 (oversold),10,130,2404,-0.45068135461308445,-0.829889709117009,0.4080948167439324,-0.39009735125827866,0.6964645613841574,121,-0.4206178042427934,0.6740341906163507,0.1026556667982665,0.6710450862637398,0.998741439122634,10,0.6979
McClellan-classic < -2.36 (oversold),20,130,2394,0.3869535862863587,0.595105084024098,0.5527776473003632,0.29136254776572856,0.7707740550944813,121,0.275379764466244,0.7830244889286757,0.032890227956959936,0.45057785239964243,0.9505476863264901,15,0.7824
McClellan-classic > 2.00 (overbought),5,148,2409,0.05574568425232591,0.35074958868527756,0.7261861605949401,0.26580986446717025,0.7903856456969791,123,0.27082775943828213,0.7865235085370854,0.24689613856755652,0.7100188603682616,0.9400400032185534,5,0.7907
McClellan-classic > 2.00 (overbought),10,148,2404,0.15084061333628418,0.641129768450423,0.5222770502144332,0.36878693520916633,0.7122865435450845,123,0.37134714837373756,0.7103789850942026,0.20005603868762467,0.6572357776410136,0.9719328472422564,10,0.7122
