benchmark_proxy,adx_threshold,slope_window_days,regime,days,percent_of_classified_days
GDXJ,20,10,choppy_indeterminate,1767,54.46979038224414
GDXJ,20,10,trending_bull,884,27.25030826140567
GDXJ,20,10,trending_bear,593,18.279901356350184
GDXJ,20,20,choppy_indeterminate,1806,55.67200986436498
GDXJ,20,20,trending_bull,860,26.51048088779285
GDXJ,20,20,trending_bear,578,17.81750924784217
GDXJ,20,40,choppy_indeterminate,1960,60.41923551171393
GDXJ,20,40,trending_bull,750,23.119605425400742
GDXJ,20,40,trending_bear,534,16.46115906288533
GDXJ,25,10,choppy_indeterminate,2272,70.03699136868065
GDXJ,25,10,trending_bull,633,19.512946979038222
GDXJ,25,10,trending_bear,339,10.450061652281134
GDXJ,25,20,choppy_indeterminate,2304,71.02342786683107
GDXJ,25,20,trending_bull,613,18.896424167694203
GDXJ,25,20,trending_bear,327,10.080147965474723
GDXJ,25,40,choppy_indeterminate,2449,75.49321824907521
GDXJ,25,40,trending_bull,510,15.721331689272503
GDXJ,25,40,trending_bear,285,8.78545006165228
GDXJ,30,10,choppy_indeterminate,2674,82.42909987669543
GDXJ,30,10,trending_bull,372,11.467324290998766
GDXJ,30,10,trending_bear,198,6.103575832305795
GDXJ,30,20,choppy_indeterminate,2690,82.92231812577066
GDXJ,30,20,trending_bull,355,10.943279901356352
GDXJ,30,20,trending_bear,199,6.134401972872997
GDXJ,30,40,choppy_indeterminate,2775,85.54254007398274
GDXJ,30,40,trending_bull,289,8.908754623921086
GDXJ,30,40,trending_bear,180,5.548705302096177
XBI,20,10,choppy_indeterminate,1680,51.787916152897665
XBI,20,10,trending_bull,918,28.298397040690503
XBI,20,10,trending_bear,646,19.91368680641184
XBI,20,20,choppy_indeterminate,1645,50.709001233045626
XBI,20,20,trending_bull,964,29.716399506781748
XBI,20,20,trending_bear,635,19.574599260172626
XBI,20,40,choppy_indeterminate,1678,51.72626387176326
XBI,20,40,trending_bull,975,30.05548705302096
XBI,20,40,trending_bear,591,18.218249075215784
XBI,25,10,choppy_indeterminate,2236,68.9272503082614
XBI,25,10,trending_bull,567,17.478421701602958
XBI,25,10,trending_bear,441,13.594327990135636
XBI,25,20,choppy_indeterminate,2229,68.711467324291
XBI,25,20,trending_bull,581,17.909987669543774
XBI,25,20,trending_bear,434,13.37854500616523
XBI,25,40,choppy_indeterminate,2261,69.69790382244143
XBI,25,40,trending_bull,581,17.909987669543774
XBI,25,40,trending_bear,402,12.392108508014797
XBI,30,10,choppy_indeterminate,2618,80.7028360049322
XBI,30,10,trending_bull,355,10.943279901356352
XBI,30,10,trending_bear,271,8.353884093711466
XBI,30,20,choppy_indeterminate,2625,80.9186189889026
XBI,30,20,trending_bull,351,10.819975339087547
XBI,30,20,trending_bear,268,8.261405672009865
XBI,30,40,choppy_indeterminate,2647,81.596794081381
XBI,30,40,trending_bull,353,10.881627620221948
XBI,30,40,trending_bear,244,7.52157829839704
